class,subject,LTminutes,LThour,LT2to5h,LTabove5h,L1,L2,L3,L4,coursebook,notebook,notebooks,apps,websites,flashards,books,prosGoodMark,prosInterest,prosPositivMark,prosJoy,prosJob,prosStudies,badWellBeing,busySchedule,hatred,entertainment,socialLife,attitude,determination,goodSchedule,goodScheduleLearn,joyResignation,teacher,questions,grade,gradeEvaluation,motivationAfter,actualMotivation,sex
pierwszej,maturalny,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,1,prawidlowyPrzebieg,takNie,4,nizsza,mocnoRosnie,4,M
trzeciej,zawodowy,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,prawidlowyPrzebieg,nieNie,4,dokladnie,bezZmian,3,K
trzeciej,maturalny,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,pilnowal,takTak,6,wyzsza,mocnoRosnie,1,BO
trzeciej,maturalny,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,brakUwagi,takNie,6,dokladnie,bezZmian,1,M
drugiej,maturalny,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,prawidlowyPrzebieg,takTak,3,dokladnie,chcePracowac,2,K
pierwszej,maturalny,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,prawidlowyPrzebieg,takTak,4,nizsza,mocnoMaleje,4,M
trzeciej,inny,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,prawidlowyPrzebieg,nieTak,3,nizsza,lekkoMaleje,2,M
drugiej,inny,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,brakUwagi,takNie,2,nizsza,mocnoMaleje,3,K
pierwszej,inny,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,brakUwagi,nieNie,4,nizsza,chcePracowac,4,M
pierwszej,maturalny,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,prawidlowyPrzebieg,nieNie,3,dokladnie,chcePracowac,3,BO
drugiej,zawodowy,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,prawidlowyPrzebieg,takTak,4,wyzsza,chcePracowac,3,K
drugiej,inny,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,pilnowal,takNie,1,nizsza,mocnoMaleje,1,M
drugiej,maturalny,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,pilnowal,nieNie,4,wyzsza,mocnoMaleje,2,M
drugiej,inny,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,prawidlowyPrzebieg,takNie,1,nizsza,mocnoMaleje,1,K
trzeciej,maturalny,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,prawidlowyPrzebieg,nieNie,3,wyzsza,chcePracowac,3,K
pierwszej,inny,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,brakUwagi,takTak,4,nizsza,bezZmian,2,K
pierwszej,inny,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,brakUwagi,takTak,4,nizsza,lekkoMaleje,1,K
drugiej,zawodowy,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,brakUwagi,takTak,4,wyzsza,lekkoMaleje,5,BO
